"","email_subject","date_email_sent","sales_amount","X","group","group_code","before_march","day_of_week","emails_sent","number_opens","number_clicks","number_unsub","number_orders","open_to_click_rate","opens_rate","clicks_rate","unsub_rate","orders_rate"
"45","Mid-March Marvels: Check Out These Customer Favorites","2004-03-17",0,20,"Conversational Approach","Group A2","False","2 - Wednesday",33,0,0,1,0,0,0,0,0.0303030303030303,0
"46","Mid-March Marvels: Check Out These Customer Favorites","2004-03-19",26906.68,72,"Conversational Approach","Group A4","False","4 - Friday",33,1,0,0,1,0,0.0303030303030303,0,0,0.0303030303030303
"47","MOTHER’S & FATHER’S DAY ITEMS: DON’T WAIT TO STOCK UP!","2004-05-03",0,61,"Alarming Approach","Group B0","False","0 - Monday",24,8,2,0,0,0.25,0.333333333333333,0.0833333333333333,0,0
"48","MOTHER’S & FATHER’S DAY ITEMS: DON’T WAIT TO STOCK UP!","2004-05-05",0,35,"Alarming Approach","Group B2","False","2 - Wednesday",23,0,0,1,0,0,0,0,0.0434782608695652,0
"49","MOTHER’S & FATHER’S DAY ITEMS: DON’T WAIT TO STOCK UP!","2004-05-07",0,87,"Alarming Approach","Group B4","False","4 - Friday",23,2,1,1,0,0.5,0.0869565217391304,0.0434782608695652,0.0434782608695652,0
"50","NEW ARRIVALS: DON’T MISS THESE POST-VALENTINE’S FAVORITES!","2004-02-18",50432.55,13,"Alarming Approach","Group B","True","2 - Wednesday",98,42,3,3,3,0.0714285714285714,0.428571428571429,0.0306122448979592,0.0306122448979592,0.0306122448979592
"51","NEW ARRIVALS: DON’T MISS THESE POST-VALENTINE’S FAVORITES!","2004-02-18",20178.13,13,"Alarming Approach","Group B","True","2 - Wednesday",98,42,3,3,3,0.0714285714285714,0.428571428571429,0.0306122448979592,0.0306122448979592,0.0306122448979592
"52","NEW ARRIVALS: DON’T MISS THESE POST-VALENTINE’S FAVORITES!","2004-02-18",49637.57,13,"Alarming Approach","Group B","True","2 - Wednesday",98,42,3,3,3,0.0714285714285714,0.428571428571429,0.0306122448979592,0.0306122448979592,0.0306122448979592
"53","NEW YEAR’S BESTSELLERS: LIMITED STOCK AVAILABLE!","2004-01-07",23889.32,1,"Alarming Approach","Group B","True","2 - Wednesday",102,14,3,1,1,0.214285714285714,0.137254901960784,0.0294117647058824,0.00980392156862745,0.00980392156862745
"54","SELL FAST: JANUARY’S MOST POPULAR MODELS!","2004-01-21",24995.47,5,"Alarming Approach","Group B","True","2 - Wednesday",101,40,5,1,1,0.125,0.396039603960396,0.0495049504950495,0.0099009900990099,0.0099009900990099
"55","SELL OUT ALERT: VALENTINE’S DAY MUST-HAVES!","2004-02-04",16118.48,9,"Alarming Approach","Group B","True","2 - Wednesday",99,17,6,1,1,0.352941176470588,0.171717171717172,0.0606060606060606,0.0101010101010101,0.0101010101010101
"56","SELL OUT WARNING: MARCH BESTSELLERS RUNNING LOW!","2004-03-29",0,51,"Alarming Approach","Group B0","False","0 - Monday",26,4,0,0,0,0,0.153846153846154,0,0,0
"57","SELL OUT WARNING: MARCH BESTSELLERS RUNNING LOW!","2004-03-31",0,25,"Alarming Approach","Group B2","False","2 - Wednesday",27,1,1,1,0,1,0.037037037037037,0.037037037037037,0.037037037037037,0
"58","SELL OUT WARNING: MARCH BESTSELLERS RUNNING LOW!","2004-04-02",0,77,"Alarming Approach","Group B4","False","4 - Friday",27,0,0,0,0,0,0,0,0,0
"59","Spring is Coming! Refresh Your Shelves with These Picks","2004-03-01",0,42,"Conversational Approach","Group A0","False","0 - Monday",33,1,1,0,0,1,0.0303030303030303,0.0303030303030303,0,0
"60","Spring is Coming! Refresh Your Shelves with These Picks","2004-03-03",0,16,"Conversational Approach","Group A2","False","2 - Wednesday",33,3,1,0,0,0.333333333333333,0.0909090909090909,0.0303030303030303,0,0
"61","Spring is Coming! Refresh Your Shelves with These Picks","2004-03-05",0,68,"Conversational Approach","Group A4","False","4 - Friday",33,1,1,0,0,1,0.0303030303030303,0.0303030303030303,0,0
"62","SPRING MODELS JUST IN: ORDER BEFORE THEY’RE GONE!","2004-03-01",46802.27,43,"Alarming Approach","Group B0","False","0 - Monday",31,2,1,1,1,0.5,0.0645161290322581,0.032258064516129,0.032258064516129,0.032258064516129
"63","SPRING MODELS JUST IN: ORDER BEFORE THEY’RE GONE!","2004-03-03",0,17,"Alarming Approach","Group B2","False","2 - Wednesday",31,1,0,1,0,0,0.032258064516129,0,0.032258064516129,0
"64","SPRING MODELS JUST IN: ORDER BEFORE THEY’RE GONE!","2004-03-05",0,69,"Alarming Approach","Group B4","False","4 - Friday",31,2,1,1,0,0.5,0.0645161290322581,0.032258064516129,0.032258064516129,0
"65","SPRING RUSH: LIMITED STOCK ALERT—ORDER NOW!","2004-03-22",0,49,"Alarming Approach","Group B0","False","0 - Monday",27,5,0,1,0,0,0.185185185185185,0,0.037037037037037,0
"66","SPRING RUSH: LIMITED STOCK ALERT—ORDER NOW!","2004-03-24",0,23,"Alarming Approach","Group B2","False","2 - Wednesday",28,2,1,1,0,0.5,0.0714285714285714,0.0357142857142857,0.0357142857142857,0
"67","SPRING RUSH: LIMITED STOCK ALERT—ORDER NOW!","2004-03-26",0,75,"Alarming Approach","Group B4","False","4 - Friday",28,1,1,1,0,1,0.0357142857142857,0.0357142857142857,0.0357142857142857,0
"68","SUMMER IS HERE: LAST CHANCE FOR MAY’S HOTTEST ITEMS!","2004-05-24",0,67,"Alarming Approach","Group B0","False","0 - Monday",24,6,2,1,0,0.333333333333333,0.25,0.0833333333333333,0.0416666666666667,0
"69","SUMMER IS HERE: LAST CHANCE FOR MAY’S HOTTEST ITEMS!","2004-05-26",0,41,"Alarming Approach","Group B2","False","2 - Wednesday",21,3,1,1,0,0.333333333333333,0.142857142857143,0.0476190476190476,0.0476190476190476,0
"70","SUMMER IS HERE: LAST CHANCE FOR MAY’S HOTTEST ITEMS!","2004-05-28",0,93,"Alarming Approach","Group B4","False","4 - Friday",21,2,1,1,0,0.5,0.0952380952380952,0.0476190476190476,0.0476190476190476,0
"71","TIME-SENSITIVE: LAST CHANCE FOR FEBRUARY’S HOTTEST PICKS!","2004-02-25",0,15,"Alarming Approach","Group B","True","2 - Wednesday",95,25,5,1,0,0.2,0.263157894736842,0.0526315789473684,0.0105263157894737,0
"72","TIME-SENSITIVE: THIS WEEK’S MUST-HAVE MODELS!","2004-05-17",0,65,"Alarming Approach","Group B0","False","0 - Monday",24,4,1,0,0,0.25,0.166666666666667,0.0416666666666667,0,0
"73","TIME-SENSITIVE: THIS WEEK’S MUST-HAVE MODELS!","2004-05-19",0,39,"Alarming Approach","Group B2","False","2 - Wednesday",21,1,1,0,0,1,0.0476190476190476,0.0476190476190476,0,0
"74","TIME-SENSITIVE: THIS WEEK’S MUST-HAVE MODELS!","2004-05-21",0,91,"Alarming Approach","Group B4","False","4 - Friday",21,1,1,0,0,1,0.0476190476190476,0.0476190476190476,0,0
"75","URGENT: THESE MODELS ARE FLYING OFF THE SHELVES!","2004-01-28",37850.08,7,"Alarming Approach","Group B","True","2 - Wednesday",100,27,6,1,2,0.222222222222222,0.27,0.06,0.01,0.02
"76","URGENT: THESE MODELS ARE FLYING OFF THE SHELVES!","2004-01-28",5759.42,7,"Alarming Approach","Group B","True","2 - Wednesday",100,27,6,1,2,0.222222222222222,0.27,0.06,0.01,0.02
"77","URGENT: THIS WEEK’S TOP-SELLING MODELS!","2004-04-19",0,57,"Alarming Approach","Group B0","False","0 - Monday",25,7,1,1,0,0.142857142857143,0.28,0.04,0.04,0
"78","URGENT: THIS WEEK’S TOP-SELLING MODELS!","2004-04-21",0,31,"Alarming Approach","Group B2","False","2 - Wednesday",25,1,0,1,0,0,0.04,0,0.04,0
"79","URGENT: THIS WEEK’S TOP-SELLING MODELS!","2004-04-23",0,83,"Alarming Approach","Group B4","False","4 - Friday",24,3,0,0,0,0,0.125,0,0,0
"80","Valentine’s Day is Coming—Add a Little Love to Your Store","2004-02-04",24219.59,8,"Conversational Approach","Group A","True","2 - Wednesday",102,10,5,0,1,0.5,0.0980392156862745,0.0490196078431373,0,0.00980392156862745
"81","Weekly Inspiration: Models Perfect for Father’s Day","2004-05-10",0,62,"Conversational Approach","Group A0","False","0 - Monday",30,1,1,0,0,1,0.0333333333333333,0.0333333333333333,0,0
"82","Weekly Inspiration: Models Perfect for Father’s Day","2004-05-12",0,36,"Conversational Approach","Group A2","False","2 - Wednesday",29,1,1,0,0,1,0.0344827586206897,0.0344827586206897,0,0
"83","Weekly Inspiration: Models Perfect for Father’s Day","2004-05-14",27987.07,88,"Conversational Approach","Group A4","False","4 - Friday",31,4,2,0,1,0.5,0.129032258064516,0.0645161290322581,0,0.032258064516129
"84","Weekly Spotlight: What Your Customers Will Love This Spring","2004-03-08",0,44,"Conversational Approach","Group A0","False","0 - Monday",33,1,1,1,0,1,0.0303030303030303,0.0303030303030303,0.0303030303030303,0
"85","Weekly Spotlight: What Your Customers Will Love This Spring","2004-03-10",21782.7,18,"Conversational Approach","Group A2","False","2 - Wednesday",33,1,1,0,1,1,0.0303030303030303,0.0303030303030303,0,0.0303030303030303
"86","Weekly Spotlight: What Your Customers Will Love This Spring","2004-03-12",37266.49,70,"Conversational Approach","Group A4","False","4 - Friday",33,1,1,0,1,1,0.0303030303030303,0.0303030303030303,0,0.0303030303030303
"87","Weekly Update: Must-Have Models for April Events","2004-04-12",0,54,"Conversational Approach","Group A0","False","0 - Monday",31,2,1,0,0,0.5,0.0645161290322581,0.032258064516129,0,0
"88","Weekly Update: Must-Have Models for April Events","2004-04-14",0,28,"Conversational Approach","Group A2","False","2 - Wednesday",31,2,2,1,0,1,0.0645161290322581,0.0645161290322581,0.032258064516129,0
"89","Weekly Update: Must-Have Models for April Events","2004-04-16",1698.78,80,"Conversational Approach","Group A4","False","4 - Friday",33,1,0,0,1,0,0.0303030303030303,0,0,0.0303030303030303
"90","Welcome to 2004! Let’s Start the Year with a Bang","2004-01-07",50490.64,0,"Conversational Approach","Group A","True","2 - Wednesday",102,23,7,0,1,0.304347826086957,0.225490196078431,0.0686274509803922,0,0.00980392156862745
"91","What’s Hot This Week? Find Out Here!","2004-04-19",0,56,"Conversational Approach","Group A0","False","0 - Monday",31,5,2,1,0,0.4,0.161290322580645,0.0645161290322581,0.032258064516129,0
"92","What’s Hot This Week? Find Out Here!","2004-04-21",7129,30,"Conversational Approach","Group A2","False","2 - Wednesday",30,2,2,1,1,1,0.0666666666666667,0.0666666666666667,0.0333333333333333,0.0333333333333333
"93","What’s Hot This Week? Find Out Here!","2004-04-23",28327.64,82,"Conversational Approach","Group A4","False","4 - Friday",33,1,1,0,1,1,0.0303030303030303,0.0303030303030303,0,0.0303030303030303
"94","What’s Trending After Valentine’s? We’ve Got You Covered","2004-02-18",61617.01,12,"Conversational Approach","Group A","True","2 - Wednesday",102,21,4,0,2,0.19047619047619,0.205882352941176,0.0392156862745098,0,0.0196078431372549
"95","What’s Trending After Valentine’s? We’ve Got You Covered","2004-02-18",18800.09,12,"Conversational Approach","Group A","True","2 - Wednesday",102,21,4,0,2,0.19047619047619,0.205882352941176,0.0392156862745098,0,0.0196078431372549
"96","What’s Trending This Week? See Our Latest Recommendations","2004-05-17",0,64,"Conversational Approach","Group A0","False","0 - Monday",30,1,1,0,0,1,0.0333333333333333,0.0333333333333333,0,0
"97","What’s Trending This Week? See Our Latest Recommendations","2004-05-19",0,38,"Conversational Approach","Group A2","False","2 - Wednesday",29,1,1,0,0,1,0.0344827586206897,0.0344827586206897,0,0
"98","What’s Trending This Week? See Our Latest Recommendations","2004-05-21",0,90,"Conversational Approach","Group A4","False","4 - Friday",31,2,2,0,0,1,0.0645161290322581,0.0645161290322581,0,0
"99","Your April Favorites—Back in Stock!","2004-04-26",0,58,"Conversational Approach","Group A0","False","0 - Monday",30,3,3,0,0,1,0.1,0.1,0,0
"100","Your April Favorites—Back in Stock!","2004-04-28",0,32,"Conversational Approach","Group A2","False","2 - Wednesday",29,1,1,0,0,1,0.0344827586206897,0.0344827586206897,0,0
"101","Your April Favorites—Back in Stock!","2004-04-30",41317.75,84,"Conversational Approach","Group A4","False","4 - Friday",33,5,1,1,2,0.2,0.151515151515152,0.0303030303030303,0.0303030303030303,0.0606060606060606
"102","Your April Favorites—Back in Stock!","2004-04-30",36973.31,84,"Conversational Approach","Group A4","False","4 - Friday",33,5,1,1,2,0.2,0.151515151515152,0.0303030303030303,0.0303030303030303,0.0606060606060606
"103","Your Weekly Check-In: What’s Missing from Your Shelves?","2004-01-28",0,6,"Conversational Approach","Group A","True","2 - Wednesday",102,29,10,0,0,0.344827586206897,0.284313725490196,0.0980392156862745,0,0
